TIME FRAME,GEOGRAPHY,BRAND,DESCRIPTION,UPC,# of Stores,# of Stores Selling,Dollars,Units,ARP,Average Weekly Dollars,Average Weekly Units,Average Weekly Dollars Per Store Selling Per Item,Average Weekly Units Per Store Selling Per Item
1 Week End 12/29/2024,TARGET CORP - RMA,AQUAFRESH,+aexcl Reg Whacv Tpst Ss  16.8oz,00-53100-29150,"1,965.0","1,837.1","$68,126.93","8,624.0",$7.90,"$68,126.93","8,624.0",$37.09,4.7
1 Week End 12/29/2024,TARGET CORP - RMA,ARM & HAMMER,+ahccr Frsmt Wgc#2 Tpst Ss  12oz,00-33200-97543,"1,965.0","1,298.1","$32,547.85","4,621.0",$7.04,"$32,547.85","4,621.0",$25.08,3.6
1 Week End 12/29/2024,TARGET CORP - RMA,ARM & HAMMER,+amha8 Iic#9 Wabfr Tpst Ss  11oz,00-33200-97673,"1,965.0","1,593.0","$39,343.04","4,350.0",$9.04,"$39,343.04","4,350.0",$24.70,2.7
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Acfrs Atcvt Tpst   11.4oz,00-30772-00217,"1,965.0",8.1,$103.27,8.0,$12.91,$103.27,8.0,$12.91,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Acfrs Atcvt Tpst Ss 3.8oz,00-37000-81995,"1,965.0",112.0,$776.93,156.0,$4.98,$776.93,156.0,$6.94,1.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Acfrs Atcvt Tpst Ss 7.6oz,00-37000-82024,"1,965.0",19.1,$231.55,26.0,$8.91,$231.55,26.0,$12.19,1.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Chrcl Atcvt Tpst Ss 3.8oz,00-37000-84414,"1,965.0",29.1,$184.28,37.0,$4.98,$184.28,37.0,$6.35,1.3
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Chrcl Atcvt Tpst Ss 7.6oz,00-37000-84416,"1,965.0",4.9,$44.50,5.0,$8.90,$44.50,5.0,$8.90,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Chrcl Whacv Tpst Ss 9.2oz,00-30772-11625,"1,965.0","1,461.0","$47,718.81","3,213.0",$14.85,"$47,718.81","3,213.0",$32.66,2.2
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Dlm#1 Aswac Tpst Ss 2.1oz,00-30772-16187,"1,965.0",408.9,"$12,372.64","1,383.0",$8.95,"$12,372.64","1,383.0",$30.25,3.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Dlm#1 Aswac Tpst Ss 3.1oz,00-30772-16189,"1,965.0","1,462.0","$59,710.89","4,908.0",$12.17,"$59,710.89","4,908.0",$40.84,3.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Iclmn Aepas Tpst Ss 3.8oz,00-30772-10316,"1,965.0","1,849.1","$35,725.61","9,066.0",$3.94,"$35,725.61","9,066.0",$19.32,4.9
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Iclmn Aepas Tpst Ss 4.4oz,00-30772-08486,"1,965.0",12.0,$65.24,16.0,$4.08,$65.24,16.0,$5.44,1.3
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Iclmn Aepas Tpst Ss 7.6oz,00-30772-13009,"1,965.0","1,709.9","$39,535.92","5,674.0",$6.97,"$39,535.92","5,674.0",$23.12,3.3
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Iclmn Atcvt Tpst Ss 6.2oz,00-37000-80660,"1,965.0",2.0,$9.26,2.0,$4.63,$9.26,2.0,$4.63,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Ivmnt Whacv Tpst Ss 2.4oz,00-30772-05373,"1,965.0","1,814.1","$36,924.97","7,354.0",$5.02,"$36,924.97","7,354.0",$20.36,4.1
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Ivmnt Whacv Tpst Ss 4.6oz,00-30772-11263,"1,965.0","1,618.0","$39,626.41","4,446.0",$8.91,"$39,626.41","4,446.0",$24.49,2.8
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh N/av Aswac Tpst Ss  4.1oz,00-30772-11280,"1,965.0","1,784.0","$45,904.25","9,173.0",$5.00,"$45,904.25","9,173.0",$25.73,5.1
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh N/av Waepr Tpst Ss  3.8oz,00-30772-11253,"1,965.0","1,789.9","$67,183.46","7,575.0",$8.87,"$67,183.46","7,575.0",$37.53,4.2
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Atcvt Tpst   11.4oz,00-30772-00038,"1,965.0",9.0,$115.74,9.0,$12.86,$115.74,9.0,$12.86,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Atcvt Tpst Ss 7.6oz,00-37000-81092,"1,965.0",9.0,$135.45,15.0,$9.03,$135.45,15.0,$15.05,1.7
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Whacv Tpst Ss 3.8oz,00-37000-81027,"1,965.0",8.1,$54.43,11.0,$4.95,$54.43,11.0,$6.80,1.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wad Chrcl Aepas Tpst   13.2oz,00-30772-12559,"1,965.0","1,718.0","$51,597.60","5,776.0",$8.93,"$51,597.60","5,776.0",$30.03,3.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wad Chrcl Aepas Tpst Ss 3.3oz,00-30772-12560,"1,965.0","1,815.1","$36,608.08","7,357.0",$4.98,"$36,608.08","7,357.0",$20.17,4.1
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wad Frsmt Waepr Tpst Ss   3oz,00-30772-05387,"1,965.0","1,640.0","$31,887.50","6,449.0",$4.94,"$31,887.50","6,449.0",$19.44,3.9
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wad Vrp#7 Awssf Tpst   13.8oz,00-30772-11628,"1,965.0","1,249.0","$45,015.82","2,412.0",$18.66,"$45,015.82","2,412.0",$36.04,1.9
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr Crwmn Aepas Tpst Ss 4.6oz,00-30772-11279,"1,965.0","1,415.0","$28,777.01","3,237.0",$8.89,"$28,777.01","3,237.0",$20.34,2.3
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr Crwmn Aswac Tpst Ss 4.6oz,00-30772-11265,"1,965.0","1,729.0","$51,990.11","5,862.0",$8.87,"$51,990.11","5,862.0",$30.07,3.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr L#190 Aswac Tpst Ss 4.6oz,00-30772-11264,"1,965.0","1,788.9","$63,206.02","7,134.0",$8.86,"$63,206.02","7,134.0",$35.33,4.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr N/av Aepas Tpst Ss  3.9oz,00-30772-11276,"1,965.0","1,646.1","$47,741.91","5,380.0",$8.87,"$47,741.91","5,380.0",$29.00,3.3
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr N/av Aepas Tpst Tbibx 3oz,00-30772-05389,"1,965.0",1.0,$7.39,1.0,$7.39,$7.39,1.0,$7.39,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr N/av Aswac Tpst Ss  2.1oz,00-30772-16188,"1,965.0",496.0,"$20,128.88","2,254.0",$8.93,"$20,128.88","2,254.0",$40.58,4.5
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr N/av Aswac Tpst Ss  3.1oz,00-30772-16191,"1,965.0","1,647.1","$72,525.41","5,978.0",$12.13,"$72,525.41","5,978.0",$44.03,3.6
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr N/av Aswac Tpst Tbibx 7oz,00-30772-07551,"1,965.0",1.0,$11.99,1.0,$11.99,$11.99,1.0,$11.99,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr N/av Waepr Tpst Ss  4.1oz,00-37000-21894,"1,965.0",1.0,$14.63,1.0,$14.63,$14.63,1.0,$14.63,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr Reg Aswac Tpst Ss   3.5oz,00-30772-05377,"1,965.0",1.0,$13.26,2.0,$6.63,$13.26,2.0,$13.26,2.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr Vrp#7 Aepas Tpst   10.5oz,00-30772-06058,"1,965.0",4.9,$73.25,5.0,$14.65,$73.25,5.0,$14.65,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr Vrp#7 Aepas Tpst Ss 3.5oz,00-30772-05375,"1,965.0",1.0,$21.87,3.0,$7.29,$21.87,3.0,$21.87,3.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+c3wbr Vrp#7 Aswac Tpst Ss 9.2oz,00-30772-11627,"1,965.0","1,599.9","$58,259.04","3,946.0",$14.76,"$58,259.04","3,946.0",$36.41,2.5
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+ccvpr Reg Cavpr Tpst Ss  17.1oz,00-37000-12277,"1,965.0","1,899.0","$57,790.01","11,723.0",$4.93,"$57,790.01","11,723.0",$30.43,6.2
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+chagp Reg A#792 Tpst Ss   3.7oz,00-37000-64966,"1,965.0",1.0,$10.42,2.0,$5.21,$10.42,2.0,$10.42,2.0
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+clgt3 N/av Aasep Tpst Tbibx 6oz,00-35000-99577,"1,965.0","1,373.0","$37,066.82","2,886.0",$12.84,"$37,066.82","2,886.0",$27.00,2.1
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+clgt3 N/av Aepas Tpst Tbibx 3oz,00-35000-99338,"1,965.0","1,764.0","$49,205.49","6,227.0",$7.90,"$49,205.49","6,227.0",$27.89,3.5
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cmrs4 Stb Atcvt Tpst Ss   4.2oz,00-37000-55570,"1,965.0","1,808.0","$20,759.31","8,412.0",$2.47,"$20,759.31","8,412.0",$11.48,4.7
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cmxfr Colmt Whacv Tpst   18.9oz,00-35000-99699,"1,965.0","1,548.0","$46,693.13","6,157.0",$7.58,"$46,693.13","6,157.0",$30.16,4.0
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cmxfr Mnt Atcvt Tpst Ss   6.3oz,08-27854-00008,"1,965.0","1,826.1","$66,520.32","8,766.0",$7.59,"$66,520.32","8,766.0",$36.43,4.8
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+colgt Bubfr Atcvt Tpst Ss 4.6oz,08-27854-00425,"1,965.0",2.0,$7.78,2.0,$3.89,$7.78,2.0,$3.89,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+colgt Reg A#792 Tpst Ss   4.8oz,00-35000-98492,"1,965.0",2.0,$9.98,2.0,$4.99,$9.98,2.0,$4.99,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+copwh Colmt Atcvt Tpst Ss 4.2oz,00-35000-97872,"1,965.0","1,702.1","$33,158.36","5,549.0",$5.98,"$33,158.36","5,549.0",$19.48,3.3
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+copwh N/av Waepr Tpst Ss  3.2oz,00-35000-99530,"1,965.0","1,670.1","$44,067.91","7,320.0",$6.02,"$44,067.91","7,320.0",$26.39,4.4
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cowad Reg Aepas Tpst Ss   9.6oz,00-35000-97230,"1,965.0","1,822.9","$103,385.06","7,938.0",$13.02,"$103,385.06","7,938.0",$56.71,4.4
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cowad Reg Whacv Tpst Tb   9.6oz,00-35000-97226,"1,965.0","1,482.0","$55,061.57","4,003.0",$13.76,"$55,061.57","4,003.0",$37.15,2.7
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cowad Spkmn Waepr Tpst   1.45oz,00-35000-97271,"1,965.0","1,873.0","$104,600.00","41,358.0",$2.53,"$104,600.00","41,358.0",$55.85,22.1
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cowrn N/av Aepas Tpst Tbibx 3oz,08-27854-01200,"1,965.0","1,709.9","$45,093.19","5,662.0",$7.96,"$45,093.19","5,662.0",$26.37,3.3
1 Week End 12/29/2024,TARGET CORP - RMA,COLGATE,+cowrn N/av Aepas Tpst Tbibx 6oz,08-27854-01226,"1,965.0","1,440.0","$40,797.37","3,178.0",$12.84,"$40,797.37","3,178.0",$28.33,2.2
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cphgd Dpcl1 A#792 Tpst Ss 2.6oz,00-30772-06185,"1,965.0","1,721.9","$29,862.92","5,793.0",$5.16,"$29,862.92","5,793.0",$17.34,3.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cphgd Dpcl1 A#792 Tpst Ss 9.6oz,00-30772-11359,"1,965.0","1,447.0","$45,411.42","3,088.0",$14.71,"$45,411.42","3,088.0",$31.38,2.1
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cphgd N/av Wanan Tpst Ss  4.8oz,00-30772-11269,"1,965.0","1,422.1","$30,378.48","3,443.0",$8.82,"$30,378.48","3,443.0",$21.36,2.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl Clnmt Cs*16 Tpst   17.2oz,00-30772-05885,"1,965.0","1,878.9","$75,321.98","10,914.0",$6.90,"$75,321.98","10,914.0",$40.09,5.8
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl Clnmt Cs*16 Tpst Ss   3oz,00-30772-10168,"1,965.0","1,024.0","$35,960.45","10,841.0",$3.32,"$35,960.45","10,841.0",$35.12,10.6
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl Dpcl1 Aa#19 Tpst Ss 2.5oz,00-30772-06201,"1,965.0",920.0,"$29,689.78","5,842.0",$5.08,"$29,689.78","5,842.0",$32.27,6.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl N/av A#792 Tpst Ss  4.6oz,00-30772-11568,"1,965.0","1,505.0","$32,885.71","3,723.0",$8.83,"$32,885.71","3,723.0",$21.85,2.5
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl N/av Aagep Tpst Ss  4.8oz,00-30772-11270,"1,965.0","1,615.0","$39,697.21","4,490.0",$8.84,"$39,697.21","4,490.0",$24.58,2.8
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl N/av Cs*16 Tpst Ss  8.6oz,00-30772-11950,"1,965.0","1,589.1","$29,021.24","4,207.0",$6.90,"$29,021.24","4,207.0",$18.26,2.7
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl N/av Cs*16 Tpst Ss 12.9oz,00-30772-11956,"1,965.0",2.0,$10.97,2.0,$5.49,$10.97,2.0,$5.49,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl N/av Gaspt Tpst Ss  4.3oz,00-30772-11924,"1,965.0","1,808.0","$36,900.77","9,356.0",$3.94,"$36,900.77","9,356.0",$20.41,5.2
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cprhl N/av Saagn Tpst Ss  4.8oz,00-30772-11284,"1,965.0","1,563.9","$39,497.11","4,479.0",$8.82,"$39,497.11","4,479.0",$25.25,2.9
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+crest Frsmt Wtcac Tpst   11.4oz,00-37000-51209,"1,965.0",1.0,$3.99,1.0,$3.99,$3.99,1.0,$3.99,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+crest Reg Atcvt Tpst Ss  11.4oz,00-37000-51208,"1,965.0",1.0,$3.99,1.0,$3.99,$3.99,1.0,$3.99,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+csde1 N/av Emprt Tpst Ss  4.1oz,00-30772-01678,"1,965.0",1.0,$7.39,1.0,$7.39,$7.39,1.0,$7.39,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+cswh1 Frsmt Whacv Tpst   17.1oz,00-37000-12220,"1,965.0","1,905.1","$61,100.06","12,359.0",$4.94,"$61,100.06","12,359.0",$32.07,6.5
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+kscrs Bblgm Actrc Tpst Ss 8.4oz,00-30772-13112,"1,965.0","1,536.0","$29,728.98","3,994.0",$7.44,"$29,728.98","3,994.0",$19.35,2.6
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+kscrs Bubbl Whacv Tpst Ss 4.2oz,00-30772-05715,"1,965.0","1,871.1","$47,390.86","11,969.0",$3.96,"$47,390.86","11,969.0",$25.33,6.4
1 Week End 12/29/2024,TARGET CORP - RMA,CREST,+kscrs Stb Waepr Tpst Ss   4.1oz,00-30772-01684,"1,965.0","1,609.9","$23,158.96","5,575.0",$4.15,"$23,158.96","5,575.0",$14.38,3.5
1 Week End 12/29/2024,TARGET CORP - RMA,MADE BY DENTISTS,+mdba4 Frsmt Atcvt Tpst Ss 4.2oz,08-50031-97039,"1,965.0",1.0,$4.99,1.0,$4.99,$4.99,1.0,$4.99,1.0
1 Week End 12/29/2024,TARGET CORP - RMA,MADE BY DENTISTS,+mdba4 Frsmt Whacv Tpst Ss 4.2oz,08-50031-97070,"1,965.0","1,157.0","$15,129.22","2,170.0",$6.97,"$15,129.22","2,170.0",$13.08,1.9
